category,sub_category
fragrance,Perfume
makeup,Eye Palette
bath-body,Shower Gel
fragrance,Shower Gel
makeup,Colour Corrector
skin,Face Sunscreen
fragrance,Eau De Parfum
skin,Acne Scar Removal Gel
bath-body,Body Scrub
fragrance,Eau De Toilette Perfume
makeup,Lip Liner
skin,Face Mask
hair,Hair Mask
skin,Face Moisturizer
skin,Face Wash
bath-body,Body Oil
makeup,Lip Balm
skin,Cleanser
makeup,Lipstick
skin,Face Moisturiser
bath-body,Massage Oil
fragrance,EDP Perfume
bath-body,Face Scrub
makeup,Highlighter
men,Eau De Parfum
bath-body,Body Lotion
makeup,Kajal
makeup,Nail Polish
makeup,Bronzer
makeup,Foundation
hair,Conditioner
makeup,Contour Powder
bath-body,Hand Cream
bath-body,Face Razor
hair,Hair Serum
makeup,Eyebrow Pencil
fragrance,Body Mist
hair,Hair Oil
makeup,Nail Polish Remover
hair,Shampoo
fragrance,Parfum
makeup,Liquid Lipstick
fragrance,Body Spray
makeup,Makeup Remover
makeup,Concealer
fragrance,Eau De Toilette
bath-body,"Shower Gel, Face Wash & Bath Salt"
makeup,Setting Powder
makeup,Kohl Kajal
skin,Sleeping Face Mask
skin,Lip Mask
skin,Face Serum
makeup,Compact Powder
fragrance,Deodorant Perfume
bath-body,Body Wash
makeup,Lip Tint
makeup,Face & Eye Brush
bath-body,"Body Wash, Body Lotion, Soap, Hand Cream & Bath Soap"
makeup,Makeup Brush
makeup,Blush
skin,Sheet Mask
bath-body,Body Wash and Body Lotion
skin,Eye Cream
bath-body,"Body Wash, Body Scrub & Exfoliating Glove"
makeup,Eye Shadow
skin,Sleeping Mask
makeup,Face Brush
makeup,Liquid Highlighter
skin,Eye Gel Patch
fragrance,Deodorant
bath-body,Hand Mask
men,Trimmer
hair,Hair Cream
skin,Night Cream
men,Soap
makeup,Highlighter Pressed Powder
makeup,Eyebrow Pomade
skin,Sunscreen Gel
makeup,Contour
hair,Hair Clay
skin,Face Cleanser
makeup,Eyeshadow Palette
skin,Body Sunscreen
makeup,Eyeliner
makeup,Lip Gloss
makeup,Makeup Organiser Bag
bath-body,Body Mist
makeup,Makeup Palette
makeup,Mascara
bath-body,Hand + Nail Cream
men,Deodorant
makeup,BB Cream
men,Perfume
fragrance,Eau De Perfume
skin,Lip Tint
skin,Face Pack
skin,Lip Oil
makeup,Cotton Puff
makeup,Lip Stain
makeup,Face Concealer
hair,Hair Color
makeup,Makeup Remover Oil
hair,Hair Spray
makeup,Face Primer
men,Face Wash
men,Ball Sack Spray
makeup,Loose Powder
fragrance,Deodorant Roll On
men,Beard Wash
skin,Day Cream
men,Eau De Toilette
makeup,Blush & Highlight Palette
men,Blade Razor & Cartridge
skin,Overnight Mask
makeup,Nail Polish Remover Wipe
makeup,Setting Spray
hair,Hair Gel
hair,Hair Color Conditioner
bath-body,Manicure Pedicure Tool
skin,Sunscreen
fragrance,Body Splash
bath-body,Cleansing Oil
skin,Skin Cleanser
skin,Skin Toner
skin,Acne Patch
men,"Face Wash, Face Scrub & Brightening Cream"
bath-body,"Face Wash, Face Scrub, Body Wash & Body Scrub"
