product_id,brand
2,Prada
3,Maybelline New York
4,Treaclemoon
6,Makeup Revolution
7,Beauty of Joseon
8,Montblanc
10,Re'equil
12,SKIN COTTAGE
14,DAVIDOFF
18,Sirona
20,Ralph Lauren
21,PAC
22,Benefit Cosmetics
24,K18
25,Elizabeth Arden
28,Bioderma
29,The Derma Co
30,Palmer's
31,Vaseline
33,Cetaphil
34,Laura Mercier
35,Laneige
38,Forest Essentials
39,Narciso Rodriguez
40,Kayali
41,mCaffeine
42,Makeup Revolution
43,Plum
45,The Man Company
47,d'you
48,Cetaphil
51,Faces Canada
52,KIKO Milano
53,PIXI
54,Ajmal
55,Lakme
56,Yves Saint Laurent
57,Plum
58,Azzaro
60,Sheglam
61,The Ordinary
62,Anastasia Beverly Hills
63,The Body Shop
64,M.A.C
67,Minimalist
70,Bombae
72,Nails Our Way
73,Giorgio Armani
74,WishCare
75,Moroccanoil
76,Lancome
80,Soulflower
81,Sheglam
85,Forest Essentials
86,Moroccanoil
87,Montblanc
89,Plum
90,M.A.C
91,Bioderma
92,Calvin Klein
93,Insight Cosmetics
94,Re'equil
97,Calvin Klein
98,Foxtale
100,LoveChild Masaba
101,FENTY BEAUTY
102,Valentino
106,Plum
107,FENTY BEAUTY
108,Kayali
112,Anastasia Beverly Hills
113,Bioderma
115,Maybelline New York
120,Lakme
121,The Body Shop
123,Kimirica
125,Innisfree
129,Chambor
130,Colour Me
132,Laneige
133,Lakme
136,Lakme
137,Aravi Organic
139,Ajmal
140,Coach
142,Laneige
144,mCaffeine
147,Bella Vita
148,The Derma Co
151,Colorbar
152,Carolina Herrera
153,bareMinerals
155,Ajmal
157,Innisfree
158,KIKO Milano
159,Maybelline New York
161,Dove
162,Nuse
163,Calvin Klein
165,FAE BEAUTY
166,Lakme
168,Plum
172,Swiss Beauty
173,Kimirica
175,PAC
176,Re'equil
178,PIXI
180,Laneige
181,Boss
182,O3+
183,Estee Lauder
185,Lakme
186,M.A.C
187,Nails Our Way
190,Smashbox
191,EMBARK
192,O.P.I
193,Foxtale
194,Mercedes-Benz
195,bareMinerals
198,Laneige
199,Chopard
200,Lakme
201,Patchology
202,Treaclemoon
203,Plum
204,mCaffeine
205,Lakme
206,Valentino
207,Embryolisse
208,Sheglam
209,Dermalogica
210,M.A.C
219,Laneige
220,La Shield
221,Antonio Banderas
222,Maison Margiela
223,Schwarzkopf Professional
225,Axis-Y
226,PAC
227,Sheglam
229,The Ordinary
230,O3+
232,mCaffeine
233,Moroccanoil
234,Insight Cosmetics
236,The Body Shop
238,Patchology
239,First Aid Beauty
245,OUAI
247,Secret Temptation
248,Sheglam
249,Brillare
250,Maison Margiela
252,Beardo
253,Milk Shake
255,Mamaearth
256,Natio
259,Too Faced
261,Yves Saint Laurent
263,urban gabru
