product_id,category
2,fragrance
3,makeup
4,bath-body
5,fragrance
6,makeup
7,skin
8,fragrance
10,skin
12,bath-body
14,fragrance
18,skin
20,fragrance
21,makeup
22,skin
24,hair
25,fragrance
28,skin
29,skin
30,bath-body
31,makeup
33,skin
34,makeup
35,skin
38,bath-body
39,fragrance
40,fragrance
41,bath-body
42,makeup
43,bath-body
45,men
46,skin
47,skin
48,bath-body
51,makeup
52,makeup
53,makeup
54,fragrance
55,makeup
56,fragrance
57,skin
58,fragrance
59,hair
60,makeup
61,skin
62,makeup
63,bath-body
64,makeup
67,skin
70,bath-body
72,makeup
73,fragrance
74,hair
75,hair
76,fragrance
77,hair
80,bath-body
81,makeup
85,fragrance
86,hair
87,fragrance
89,fragrance
90,makeup
91,skin
92,fragrance
93,makeup
94,hair
97,fragrance
98,skin
100,fragrance
101,makeup
102,fragrance
106,skin
107,makeup
108,fragrance
112,makeup
113,makeup
115,makeup
118,bath-body
120,makeup
121,fragrance
123,bath-body
125,makeup
129,makeup
130,fragrance
132,skin
133,makeup
136,makeup
137,hair
139,fragrance
140,fragrance
142,skin
144,bath-body
147,fragrance
148,skin
149,bath-body
151,makeup
152,fragrance
153,makeup
155,fragrance
157,skin
158,makeup
159,makeup
161,bath-body
162,makeup
163,fragrance
165,skin
166,makeup
168,bath-body
172,makeup
173,bath-body
175,makeup
176,skin
178,makeup
180,skin
181,fragrance
182,skin
183,makeup
185,skin
186,makeup
187,makeup
190,makeup
191,fragrance
192,makeup
193,bath-body
194,fragrance
195,makeup
198,skin
199,fragrance
200,makeup
201,skin
202,bath-body
203,fragrance
204,bath-body
205,makeup
206,fragrance
207,skin
208,makeup
209,skin
210,makeup
211,hair
218,bath-body
219,skin
220,skin
221,fragrance
222,fragrance
223,hair
225,skin
226,makeup
227,makeup
229,hair
230,skin
232,bath-body
233,bath-body
234,makeup
236,bath-body
238,skin
239,bath-body
245,hair
247,fragrance
248,makeup
249,hair
250,fragrance
251,bath-body
252,men
253,hair
255,makeup
256,skin
259,makeup
261,fragrance
263,men
264,skin
265,hair
266,makeup
267,makeup
268,skin
269,bath-body
270,skin
271,makeup
272,makeup
273,makeup
274,skin
275,skin
276,skin
277,skin
278,hair
279,makeup
280,makeup
281,fragrance
282,bath-body
283,makeup
285,skin
286,skin
287,makeup
288,skin
291,makeup
292,makeup
293,skin
295,bath-body
297,makeup
299,makeup
300,makeup
301,hair
302,bath-body
304,makeup
305,skin
306,makeup
308,makeup
310,bath-body
311,bath-body
312,makeup
314,makeup
316,skin
317,makeup
318,men
320,men
321,hair
322,fragrance
326,fragrance
327,bath-body
328,makeup
329,skin
331,bath-body
332,men
333,makeup
334,skin
337,makeup
339,fragrance
341,skin
342,fragrance
344,bath-body
345,fragrance
346,men
347,fragrance
349,makeup
350,makeup
351,skin
352,fragrance
355,hair
356,fragrance
357,hair
358,fragrance
359,hair
361,hair
362,fragrance
365,hair
366,bath-body
368,hair
369,skin
370,skin
371,bath-body
372,fragrance
374,bath-body
376,makeup
380,hair
381,makeup
382,fragrance
383,bath-body
384,fragrance
385,skin
387,fragrance
388,makeup
390,makeup
392,hair
394,hair
395,skin
396,bath-body
398,makeup
400,fragrance
402,makeup
403,bath-body
404,makeup
405,skin
406,fragrance
408,makeup
409,skin
412,makeup
413,hair
414,hair
415,skin
417,fragrance
418,makeup
420,skin
421,makeup
422,bath-body
423,makeup
424,fragrance
425,makeup
427,fragrance
429,bath-body
430,makeup
431,makeup
432,makeup
433,makeup
434,makeup
435,makeup
436,hair
437,makeup
439,fragrance
440,makeup
441,hair
444,makeup
445,makeup
446,skin
447,makeup
448,hair
450,fragrance
451,fragrance
452,fragrance
453,fragrance
456,hair
457,fragrance
458,makeup
459,fragrance
461,bath-body
462,skin
463,bath-body
464,bath-body
465,makeup
466,fragrance
470,bath-body
471,men
472,bath-body
473,fragrance
475,bath-body
478,makeup
479,hair
481,makeup
482,skin
485,hair
486,skin
489,skin
490,skin
491,bath-body
492,hair
493,fragrance
495,hair
496,makeup
497,hair
498,hair
500,men
501,fragrance
502,makeup
504,makeup
505,makeup
506,fragrance
507,skin
508,men
512,skin
513,men
514,bath-body
515,makeup
516,skin
517,bath-body
518,men
519,skin
520,fragrance
521,hair
522,makeup
523,men
524,skin
526,makeup
527,makeup
529,hair
530,makeup
531,fragrance
532,hair
533,makeup
534,makeup
536,fragrance
537,bath-body
538,hair
539,skin
540,hair
541,fragrance
543,makeup
546,hair
547,men
548,fragrance
550,fragrance
551,hair
552,makeup
553,hair
554,hair
555,skin
556,bath-body
557,skin
558,fragrance
559,makeup
560,fragrance
561,makeup
562,bath-body
563,makeup
564,fragrance
566,skin
569,makeup
570,skin
572,hair
574,makeup
575,hair
576,makeup
577,skin
578,makeup
579,skin
580,fragrance
582,makeup
583,bath-body
584,fragrance
585,makeup
587,fragrance
590,men
591,skin
592,makeup
594,makeup
595,makeup
597,skin
599,hair
601,makeup
603,bath-body
604,fragrance
605,hair
606,bath-body
607,makeup
609,fragrance
610,hair
611,makeup
612,makeup
614,makeup
615,makeup
617,makeup
622,men
623,makeup
624,makeup
625,makeup
627,skin
628,fragrance
629,fragrance
630,makeup
631,makeup
633,bath-body
636,fragrance
638,fragrance
639,bath-body
640,bath-body
641,makeup
642,bath-body
643,skin
645,bath-body
646,bath-body
647,skin
648,hair
651,makeup
652,fragrance
654,makeup
657,makeup
658,makeup
661,skin
662,makeup
663,fragrance
664,skin
666,hair
667,bath-body
668,fragrance
670,skin
672,fragrance
673,hair
674,bath-body
675,skin
676,fragrance
677,skin
680,makeup
682,makeup
683,fragrance
684,makeup
685,makeup
686,makeup
687,skin
688,fragrance
691,skin
693,skin
694,fragrance
696,bath-body
698,makeup
702,men
703,makeup
704,skin
707,makeup
708,makeup
710,bath-body
711,fragrance
712,skin
713,makeup
714,hair
715,men
716,skin
718,fragrance
719,fragrance
720,makeup
721,makeup
722,fragrance
723,makeup
724,makeup
725,makeup
727,skin
728,fragrance
729,makeup
730,makeup
732,bath-body
736,makeup
737,hair
738,makeup
739,hair
740,makeup
741,makeup
743,makeup
744,makeup
746,bath-body
747,hair
748,makeup
749,men
752,fragrance
753,bath-body
760,bath-body
764,men
767,makeup
768,makeup
769,hair
771,makeup
772,hair
773,makeup
774,makeup
775,makeup
777,makeup
778,fragrance
779,fragrance
780,men
781,makeup
782,makeup
783,makeup
784,makeup
785,skin
786,hair
787,skin
789,fragrance
790,makeup
791,bath-body
792,makeup
793,fragrance
794,makeup
795,makeup
796,makeup
797,fragrance
798,skin
799,skin
800,bath-body
801,makeup
802,makeup
803,makeup
804,makeup
807,hair
808,bath-body
809,makeup
810,makeup
811,bath-body
813,hair
814,bath-body
815,makeup
816,hair
817,makeup
820,makeup
821,hair
822,skin
823,skin
