product_id,sub_category
2,Perfume
3,Eye Palette
4,Shower Gel
5,Shower Gel
6,Colour Corrector
7,Face Sunscreen
8,Eau De Parfum
10,Acne Scar Removal Gel
12,Body Scrub
14,Perfume
20,Eau De Toilette Perfume
21,Lip Liner
22,Face Mask
24,Hair Mask
25,Eau De Parfum
28,Face Moisturizer
29,Face Wash
30,Body Oil
31,Lip Balm
33,Cleanser
34,Lipstick
35,Face Moisturiser
38,Massage Oil
40,EDP Perfume
41,Face Scrub
42,Highlighter
45,Eau De Parfum
46,Face Sunscreen
47,Face Moisturizer
48,Body Lotion
51,Kajal
52,Nail Polish
53,Bronzer
54,Eau De Parfum
55,Foundation
56,Eau De Parfum
57,Face Wash
58,Perfume
59,Conditioner
60,Contour Powder
61,Face Mask
62,Eye Palette
63,Hand Cream
64,Lipstick
67,Face Sunscreen
70,Face Razor
72,Nail Polish
73,Eau De Parfum
74,Hair Serum
75,Hair Serum
76,Eau De Parfum
77,Hair Mask
80,Massage Oil
81,Eyebrow Pencil
85,Body Mist
86,Hair Oil
87,Eau De Parfum
90,Lipstick
91,Face Moisturiser
92,Eau De Parfum
93,Nail Polish Remover
94,Shampoo
97,Parfum
98,Face Moisturiser
100,Eau De Parfum
101,Liquid Lipstick
102,Perfume
106,Face Sunscreen
107,Highlighter
108,Body Spray
112,Eye Palette
113,Makeup Remover
115,Concealer
118,Shower Gel
120,Kajal
121,Eau De Toilette
123,"Shower Gel, Face Wash & Bath Salt"
125,Setting Powder
129,Kohl Kajal
130,Eau De Parfum
132,Sleeping Face Mask
133,Nail Polish
136,Nail Polish Remover
139,Eau De Parfum
140,Eau De Toilette
142,Lip Mask
144,Body Scrub
148,Face Serum
149,Shower Gel
151,Compact Powder
155,Deodorant Perfume
157,Face Wash
158,Nail Polish
159,Compact Powder
161,Body Wash
162,Lip Tint
163,Eau De Toilette
165,Face Sunscreen
166,Foundation
168,Massage Oil
172,Face & Eye Brush
173,"Body Wash, Body Lotion, Soap, Hand Cream & Bath Soap"
175,Makeup Brush
176,Face Moisturiser
178,Blush
180,Lip Mask
181,Eau De Parfum
182,Sheet Mask
183,Lipstick
185,Sheet Mask
186,Lipstick
187,Nail Polish
190,Liquid Lipstick
191,Eau De Parfum
192,Nail Polish
193,Body Wash and Body Lotion
194,Perfume
198,Eye Cream
199,Eau De Parfum
200,Nail Polish
201,Lip Mask
203,Body Mist
204,"Body Wash, Body Scrub & Exfoliating Glove"
205,Kajal
206,Perfume
207,Face Moisturizer
208,Eye Shadow
209,Face Wash
210,Liquid Lipstick
211,Hair Oil
218,Massage Oil
219,Sleeping Mask
220,Face Sunscreen
221,Eau De Toilette
222,Eau De Toilette
223,Hair Serum
225,Face Mask
226,Face Brush
227,Liquid Highlighter
229,Hair Serum
230,Face Mask
232,Face Scrub
233,Hand Cream
234,Nail Polish
236,Hand Cream
238,Eye Gel Patch
239,Body Scrub
245,Shampoo
247,Deodorant
248,Contour Powder
249,Hair Oil
251,Hand Mask
252,Trimmer
253,Hair Cream
255,Foundation
256,Night Cream
261,Eau De Parfum
263,Soap
264,Face Serum
265,Conditioner
266,Highlighter Pressed Powder
267,Eyebrow Pomade
268,Sunscreen Gel
269,Body Lotion
270,Face Moisturiser
271,Contour
274,Face Mask
275,Face Serum
277,Face Sunscreen
278,Hair Clay
279,Lip Tint
280,Lipstick
282,Body Wash
283,Lipstick
285,Face Cleanser
286,Face Wash
287,Eyeshadow Palette
288,Body Sunscreen
291,Blush
292,Nail Polish
293,Lip Mask
295,Body Wash
297,Eyeliner
300,Lip Gloss
301,Hair Oil
302,Body Lotion
304,Makeup Organiser Bag
305,Face Serum
306,Nail Polish
308,Nail Polish
310,Body Mist
311,Body Scrub
312,Makeup Palette
314,Foundation
316,Sheet Mask
317,Mascara
318,Trimmer
320,Trimmer
321,Hair Oil
322,Eau De Parfum
326,Body Mist
327,Body Scrub
328,Nail Polish
331,Hand + Nail Cream
332,Deodorant
333,Lipstick
334,Sleeping Mask
337,BB Cream
339,Eau De Parfum
342,Eau De Toilette
344,Massage Oil
345,Eau De Toilette
346,Perfume
347,Eau De Parfum
349,Eyeliner
350,Makeup Palette
351,Face Sunscreen
352,Body Mist
355,Hair Serum
356,Eau De Toilette
357,Hair Oil
358,Eau De Perfume
359,Shampoo
361,Hair Oil
365,Hair Serum
366,Body Lotion
368,Hair Oil
369,Face Serum
370,Face Sunscreen
371,Body Lotion
372,Eau De Toilette
374,Massage Oil
376,Makeup Remover
380,Conditioner
382,Eau De Toilette
383,Body Wash
384,Deodorant
385,Body Sunscreen
387,Eau De Parfum
388,Nail Polish
390,Foundation
392,Hair Oil
394,Shampoo
396,Body Scrub
398,Kajal
400,Eau De Toilette
402,Nail Polish
405,Face Serum
406,Eau De Toilette
408,Nail Polish
409,Lip Tint
412,Eyeshadow Palette
413,Conditioner
414,Conditioner
415,Face Pack
417,Eau De Parfum
418,Lipstick
420,Lip Oil
421,Eyeliner
422,Body Scrub
423,Blush
424,Eau De Parfum
425,Nail Polish
427,Deodorant
429,Body Scrub
430,Liquid Lipstick
431,Highlighter Pressed Powder
432,Lipstick
433,Cotton Puff
434,Highlighter Pressed Powder
435,Lip Stain
436,Hair Serum
437,Face Concealer
439,Eau De Toilette
440,Kajal
441,Hair Color
444,Liquid Lipstick
445,Blush
446,Face Serum
447,Makeup Remover Oil
448,Shampoo
450,Body Mist
451,Eau De Toilette
452,Deodorant
456,Hair Spray
457,EDP Perfume
458,Face Primer
459,Deodorant
461,Shower Gel
463,Body Lotion
464,Body Wash
465,Nail Polish
470,Body Lotion
471,Face Wash
472,Shower Gel
473,Deodorant
475,Body Lotion
478,Makeup Palette
479,Hair Serum
481,Nail Polish Remover
482,Face Cleanser
485,Hair Serum
486,Face Wash
490,Face Wash
491,Body Lotion
495,Hair Serum
496,Liquid Lipstick
497,Hair Oil
498,Conditioner
500,Ball Sack Spray
501,Eau De Parfum
502,Loose Powder
504,Nail Polish
505,Liquid Lipstick
506,Deodorant Roll On
508,Beard Wash
512,Day Cream
513,Trimmer
514,Body Scrub
515,Eye Palette
516,Face Serum
517,Shower Gel
518,Eau De Toilette
520,Body Spray
521,Hair Mask
522,Blush & Highlight Palette
523,Blade Razor & Cartridge
524,Overnight Mask
