,product_id,brand
0,2,Prada
1,3,Maybelline New York
2,4,Treaclemoon
4,6,Makeup Revolution
5,7,Beauty of Joseon
6,8,Montblanc
7,10,Re'equil
8,12,SKIN COTTAGE
9,14,DAVIDOFF
10,18,Sirona
11,20,Ralph Lauren
12,21,PAC
13,22,Benefit Cosmetics
14,24,K18
15,25,Elizabeth Arden
16,28,Bioderma
17,29,The Derma Co
18,30,Palmer's
19,31,Vaseline
20,33,Cetaphil
21,34,Laura Mercier
22,35,Laneige
23,38,Forest Essentials
24,39,Narciso Rodriguez
25,40,Kayali
26,41,mCaffeine
27,42,Makeup Revolution
28,43,Plum
29,45,The Man Company
31,47,d'you
32,48,Cetaphil
33,51,Faces Canada
34,52,KIKO Milano
35,53,PIXI
36,54,Ajmal
37,55,Lakme
38,56,Yves Saint Laurent
39,57,Plum
40,58,Azzaro
42,60,Sheglam
43,61,The Ordinary
44,62,Anastasia Beverly Hills
45,63,The Body Shop
46,64,M.A.C
47,67,Minimalist
48,70,Bombae
49,72,Nails Our Way
50,73,Giorgio Armani
51,74,WishCare
52,75,Moroccanoil
53,76,Lancome
55,80,Soulflower
56,81,Sheglam
57,85,Forest Essentials
58,86,Moroccanoil
59,87,Montblanc
60,89,Plum
61,90,M.A.C
62,91,Bioderma
63,92,Calvin Klein
64,93,Insight Cosmetics
65,94,Re'equil
66,97,Calvin Klein
67,98,Foxtale
68,100,LoveChild Masaba
69,101,FENTY BEAUTY
70,102,Valentino
71,106,Plum
72,107,FENTY BEAUTY
73,108,Kayali
74,112,Anastasia Beverly Hills
75,113,Bioderma
76,115,Maybelline New York
78,120,Lakme
79,121,The Body Shop
80,123,Kimirica
81,125,Innisfree
82,129,Chambor
83,130,Colour Me
84,132,Laneige
85,133,Lakme
86,136,Lakme
87,137,Aravi Organic
88,139,Ajmal
89,140,Coach
90,142,Laneige
91,144,mCaffeine
92,147,Bella Vita
93,148,The Derma Co
95,151,Colorbar
96,152,Carolina Herrera
97,153,bareMinerals
98,155,Ajmal
99,157,Innisfree
100,158,KIKO Milano
101,159,Maybelline New York
102,161,Dove
103,162,Nuse
104,163,Calvin Klein
105,165,FAE BEAUTY
106,166,Lakme
107,168,Plum
108,172,Swiss Beauty
109,173,Kimirica
110,175,PAC
111,176,Re'equil
112,178,PIXI
113,180,Laneige
114,181,Boss
115,182,O3+
116,183,Estee Lauder
117,185,Lakme
118,186,M.A.C
119,187,Nails Our Way
120,190,Smashbox
121,191,EMBARK
122,192,O.P.I
123,193,Foxtale
124,194,Mercedes-Benz
125,195,bareMinerals
126,198,Laneige
127,199,Chopard
128,200,Lakme
129,201,Patchology
130,202,Treaclemoon
131,203,Plum
132,204,mCaffeine
133,205,Lakme
134,206,Valentino
135,207,Embryolisse
136,208,Sheglam
137,209,Dermalogica
138,210,M.A.C
141,219,Laneige
142,220,La Shield
143,221,Antonio Banderas
144,222,Maison Margiela
145,223,Schwarzkopf Professional
146,225,Axis-Y
147,226,PAC
148,227,Sheglam
149,229,The Ordinary
150,230,O3+
151,232,mCaffeine
152,233,Moroccanoil
153,234,Insight Cosmetics
154,236,The Body Shop
155,238,Patchology
156,239,First Aid Beauty
157,245,OUAI
158,247,Secret Temptation
159,248,Sheglam
160,249,Brillare
161,250,Maison Margiela
163,252,Beardo
164,253,Milk Shake
165,255,Mamaearth
166,256,Natio
167,259,Too Faced
168,261,Yves Saint Laurent
169,263,urban gabru
170,264,SKIN1004
171,265,OUAI
172,266,Smashbox
173,267,Anastasia Beverly Hills
174,268,Fixderma
175,269,mCaffeine
176,270,Re'equil
177,271,FENTY BEAUTY
178,272,bareMinerals
179,273,bareMinerals
180,274,Allies Of Skin
181,275,Plum
182,276,Foxtale
183,277,Bioderma
184,278,Kevin Murphy
185,279,Nuse
186,280,FENTY BEAUTY
187,281,Coach
188,282,The Derma Co
189,283,M.A.C
190,285,SKIN1004
191,286,Minimalist
192,287,Anastasia Beverly Hills
193,288,Dr. Sheth's
194,291,Maybelline New York
195,292,Nails Our Way
196,293,Laneige
197,295,Plum
198,297,Colorbar
199,299,bareMinerals
200,300,Huda Beauty
201,301,Brillare
202,302,The Body Shop
203,304,GUBB
204,305,Olay
205,306,Nails Our Way
206,308,Nails Our Way
208,311,SKIN COTTAGE
209,312,Makeup Revolution
210,314,Akind
211,316,Lakme
212,317,Swiss Beauty
213,318,Beardo
214,320,Bombay Shaving Company
215,321,Soulflower
216,322,Lancome
217,326,AND
218,327,SKIN COTTAGE
219,328,Nails Our Way
220,329,Laneige
221,331,Caudalie
222,332,Calvin Klein
223,333,M.A.C
224,334,Laneige
226,339,Dorall Collection
227,341,Laneige
228,342,DAVIDOFF
229,344,L'occitane
230,345,Dorall Collection
231,346,Dorall Collection
232,347,Ajmal
233,349,M.A.C
234,350,PIXI
235,351,Re'equil
236,352,Plum
237,355,Milk Shake
238,356,L'occitane
239,357,Max Care
240,358,Coach
241,359,LOVE beauty AND planet
242,361,Pilgrim
243,362,Jean Paul Gaultier
244,365,Tresemme
245,366,Cetaphil
246,368,Inde Wild
247,369,The Ordinary
248,370,La Shield
249,371,Cetaphil
250,372,Guess
251,374,Moroccanoil
252,376,ETUDE HOUSE
254,381,RENEE
255,382,Armaf
256,383,Foxtale
257,384,L'occitane
258,385,Laneige
259,387,Burberry
260,388,KIKO Milano
261,390,Maybelline New York
262,392,Nature Spell
263,394,LOVE beauty AND planet
264,395,Minimalist
265,396,SKIN COTTAGE
266,398,Bobbi Brown
267,400,Police
268,402,Nails Our Way
269,403,Treaclemoon
270,404,Too Faced
271,405,Akind
272,406,Police
273,408,Insight Cosmetics
275,412,Yves Saint Laurent
276,413,L'Oreal Paris
277,414,LOVE beauty AND planet
278,415,Kama Ayurveda
279,417,Salvatore Ferragamo
280,418,M.A.C
281,420,FENTY SKIN
282,421,Makeup Revolution
283,422,SKIN COTTAGE
284,423,Nuse
285,424,Foxtale
286,425,Nails Our Way
287,427,Ajmal
288,429,SKIN COTTAGE
289,430,Smashbox
290,431,Smashbox
291,432,M.A.C
292,433,PAC
293,434,Smashbox
294,435,Benefit Cosmetics
295,436,L'OREAL PROFESSIONNEL
296,437,L'Oreal Paris
297,439,Calvin Klein
298,440,Faces Canada
299,441,Paradyes
300,444,Maybelline New York
301,445,FENTY BEAUTY
302,446,Akind
303,447,The Face Shop
304,448,Treecell
305,450,Plum
306,451,Calvin Klein
307,452,Calvin Klein
308,453,Ajmal
309,456,Kevin Murphy
310,457,Kayali
311,458,M.A.C
312,459,David Beckham
313,461,The Body Shop
314,462,Laneige
315,463,O3+
316,464,Pears
317,465,Nails Our Way
318,466,Calvin Klein
319,470,Dream. Immerse. Play.
320,471,CLINIQUE
321,472,Dream. Immerse. Play.
322,473,Sirona
323,475,Kundal
324,478,Swiss Beauty
325,479,Schwarzkopf Professional
326,481,Faces Canada
327,482,Akind
328,485,Pilgrim
329,486,Cetaphil
330,489,Laneige
331,490,Mamaearth
333,492,Aravi Organic
334,493,Coach
335,495,Olaplex
336,496,Maybelline New York
337,497,Root Deep
340,501,Kylie Cosmetics
341,502,CLINIQUE
342,504,Nails Our Way
343,505,Smashbox
344,506,Nivea
345,507,The Ordinary
346,508,Beardo
347,512,Natio
348,513,Bombay Shaving Company
349,514,Kundal
350,515,Miss Claire
351,516,Dr. Sheth's
352,517,Treaclemoon
353,518,The Man Company
354,519,haruharu wonder
355,520,Kayali
356,521,K18
357,522,Insight Cosmetics
358,523,LetsShave
359,524,COSRX
360,526,Lakme
361,527,Smashbox
363,530,Insight Cosmetics
364,531,Dorall Collection
365,532,Dove
366,533,Huda Beauty
367,534,Maybelline New York
368,536,Nautica
369,537,Nivea
370,538,Hask
371,539,Plum
372,540,Fix My Curls
373,541,Caudalie
374,543,KIKO Milano
375,546,WishCare
376,547,Wild Stone
377,548,Playboy
378,550,Diesel
379,551,L'occitane
380,552,M.A.C
381,553,L'Oreal Paris
382,554,L'OREAL PROFESSIONNEL
383,555,Bioderma
384,556,Bronson Professional
386,558,Guess
387,559,Maybelline New York
388,560,Layer'r
390,562,Bioderma
391,563,PAC
392,564,Gucci
393,566,Episoft
394,569,Insight Cosmetics
395,570,I'm From
396,572,Fix My Curls
397,574,Maybelline New York
398,575,Kama Ayurveda
399,576,Rom&nd
401,578,M.A.C
402,579,COSRX
403,580,Ajmal
404,582,M.A.C
405,583,Forest Essentials
406,584,Kayali
407,585,Colorbar
408,587,AND
409,590,The Man Company
410,591,Bioderma
411,592,KIKO Milano
412,594,Smashbox
413,595,Lakme
414,597,Akind
415,599,Nexxus
416,601,FENTY BEAUTY
417,603,mCaffeine
418,604,Maison Margiela
419,605,Forest Essentials
420,606,L'occitane
421,607,Benefit Cosmetics
422,609,Bella Vita
423,610,Wella Professionals
424,611,Huda Beauty
425,612,PAC
426,614,PAC
427,615,Vega
428,617,TIRTIR
429,622,Philips
430,623,Makeup Revolution
431,624,Rom&nd
432,625,M.A.C
433,627,Mixsoon
434,628,Ajmal
435,629,Guess
436,630,Yves Saint Laurent
437,631,Makeup Revolution
438,633,Murshmallow
439,636,Rabanne
440,638,Jimmy Choo
442,640,Kimirica
443,641,FENTY BEAUTY
444,642,Dream. Immerse. Play.
445,643,FENTY SKIN
446,645,Treaclemoon
447,646,Dove
448,647,WishCare
449,648,Amazon Series
450,651,Nuse
451,652,Coach
452,654,bareMinerals
453,657,Laneige
454,658,Estee Lauder
455,661,Simple
456,662,M.A.C
457,663,Ajmal
458,664,Biore
460,667,mCaffeine
461,668,Boss
462,670,Lakme
463,672,Burberry
464,673,Nexxus
465,674,Sebamed
466,675,Pilgrim
467,676,L'occitane
468,677,SKIN1004
469,680,Insight Cosmetics
470,682,PAC
471,683,Burberry
472,684,M.A.C
473,685,PAC
474,686,Profusion Cosmetics
476,688,DAVIDOFF
477,691,Bioderma
478,693,Beauty of Joseon
479,694,Coach
481,698,Benefit Cosmetics
482,702,Wild Stone
483,703,Nails Our Way
484,704,CLINIQUE
485,707,M.A.C
486,708,PAC
487,710,Clarins
488,711,Colour Me
489,712,Simple
490,713,Lakme
493,716,I'm From
494,718,Maison Margiela
495,719,Diesel
496,720,Makeup Revolution
497,721,M.A.C
498,722,Cacharel
499,723,Lakme
500,724,Miss Claire
501,725,Nuse
502,727,Akind
503,728,DAVIDOFF
504,729,FENTY BEAUTY
505,730,CLINIQUE
506,732,THE LOVE CO.
507,736,Lakme
509,738,Nails Our Way
510,739,WishCare
511,740,Swiss Beauty
512,741,Nails Our Way
513,743,Nuse
514,744,Nuse
515,746,mCaffeine
516,747,L'OREAL PROFESSIONNEL
517,748,Gush Beauty
518,749,Wild Stone
519,752,Plum
522,764,Beardo
523,767,Swiss Beauty
524,768,PAC
525,769,Fix My Curls
526,771,FENTY BEAUTY
527,772,mCaffeine
528,773,Lakme
529,774,Tulips
530,775,Rom&nd
531,777,RENEE
533,779,Police
534,780,The Man Company
535,781,PAC
536,782,Lakme
537,783,Benefit Cosmetics
538,784,ETUDE HOUSE
539,785,Laneige
541,787,Laneige
542,789,Plum
543,790,Huda Beauty
544,791,Moroccanoil
545,792,bareMinerals
546,793,Ajmal
547,794,Sheglam
548,795,bareMinerals
549,796,ETUDE HOUSE
550,797,Burberry
551,798,Plum
553,800,Be Bodywise
554,801,PAC
555,802,L'occitane
556,803,Real Techniques
557,804,PAC
558,807,Streax Professional
559,808,SKIN COTTAGE
560,809,Nails Our Way
561,810,Bobbi Brown
562,811,mCaffeine
563,813,WishCare
564,814,Dove
565,815,Huda Beauty
566,816,LOVE beauty AND planet
567,817,Sheglam
568,820,Swiss Beauty
569,821,Matrix
570,822,Bioderma
571,823,The Derma Co
572,824,Plum
573,825,The Ordinary
574,826,Burberry
575,827,La Shield
576,828,Charmacy Milano
577,830,Minimalist
578,832,FENTY BEAUTY
579,833,Nails Our Way
580,834,bareMinerals
581,836,Insight Cosmetics
