,product_id,category
0,2,fragrance
1,3,makeup
2,4,bath-body
3,5,fragrance
4,6,makeup
5,7,skin
6,8,fragrance
7,10,skin
8,12,bath-body
9,14,fragrance
10,18,skin
11,20,fragrance
12,21,makeup
13,22,skin
14,24,hair
15,25,fragrance
16,28,skin
17,29,skin
18,30,bath-body
19,31,makeup
20,33,skin
21,34,makeup
22,35,skin
23,38,bath-body
24,39,fragrance
25,40,fragrance
26,41,bath-body
27,42,makeup
28,43,bath-body
29,45,men
30,46,skin
31,47,skin
32,48,bath-body
33,51,makeup
34,52,makeup
35,53,makeup
36,54,fragrance
37,55,makeup
38,56,fragrance
39,57,skin
40,58,fragrance
41,59,hair
42,60,makeup
43,61,skin
44,62,makeup
45,63,bath-body
46,64,makeup
47,67,skin
48,70,bath-body
49,72,makeup
50,73,fragrance
51,74,hair
52,75,hair
53,76,fragrance
54,77,hair
55,80,bath-body
56,81,makeup
57,85,fragrance
58,86,hair
59,87,fragrance
60,89,fragrance
61,90,makeup
62,91,skin
63,92,fragrance
64,93,makeup
65,94,hair
66,97,fragrance
67,98,skin
68,100,fragrance
69,101,makeup
70,102,fragrance
71,106,skin
72,107,makeup
73,108,fragrance
74,112,makeup
75,113,makeup
76,115,makeup
77,118,bath-body
78,120,makeup
79,121,fragrance
80,123,bath-body
81,125,makeup
82,129,makeup
83,130,fragrance
84,132,skin
85,133,makeup
86,136,makeup
87,137,hair
88,139,fragrance
89,140,fragrance
90,142,skin
91,144,bath-body
92,147,fragrance
93,148,skin
94,149,bath-body
95,151,makeup
96,152,fragrance
97,153,makeup
98,155,fragrance
99,157,skin
100,158,makeup
101,159,makeup
102,161,bath-body
103,162,makeup
104,163,fragrance
105,165,skin
106,166,makeup
107,168,bath-body
108,172,makeup
109,173,bath-body
110,175,makeup
111,176,skin
112,178,makeup
113,180,skin
114,181,fragrance
115,182,skin
116,183,makeup
117,185,skin
118,186,makeup
119,187,makeup
120,190,makeup
121,191,fragrance
122,192,makeup
123,193,bath-body
124,194,fragrance
125,195,makeup
126,198,skin
127,199,fragrance
128,200,makeup
129,201,skin
130,202,bath-body
131,203,fragrance
132,204,bath-body
133,205,makeup
134,206,fragrance
135,207,skin
136,208,makeup
137,209,skin
138,210,makeup
139,211,hair
140,218,bath-body
141,219,skin
142,220,skin
143,221,fragrance
144,222,fragrance
145,223,hair
146,225,skin
147,226,makeup
148,227,makeup
149,229,hair
150,230,skin
151,232,bath-body
152,233,bath-body
153,234,makeup
154,236,bath-body
155,238,skin
156,239,bath-body
157,245,hair
158,247,fragrance
159,248,makeup
160,249,hair
161,250,fragrance
162,251,bath-body
163,252,men
164,253,hair
165,255,makeup
166,256,skin
167,259,makeup
168,261,fragrance
169,263,men
170,264,skin
171,265,hair
172,266,makeup
173,267,makeup
174,268,skin
175,269,bath-body
176,270,skin
177,271,makeup
178,272,makeup
179,273,makeup
180,274,skin
181,275,skin
182,276,skin
183,277,skin
184,278,hair
185,279,makeup
186,280,makeup
187,281,fragrance
188,282,bath-body
189,283,makeup
190,285,skin
191,286,skin
192,287,makeup
193,288,skin
194,291,makeup
195,292,makeup
196,293,skin
197,295,bath-body
198,297,makeup
199,299,makeup
200,300,makeup
201,301,hair
202,302,bath-body
203,304,makeup
204,305,skin
205,306,makeup
206,308,makeup
207,310,bath-body
208,311,bath-body
209,312,makeup
210,314,makeup
211,316,skin
212,317,makeup
213,318,men
214,320,men
215,321,hair
216,322,fragrance
