product_id,concern
5,Dryness
6,Under Eye Concerns
7,Oil Control
7,Sun Damage
10,Blemishes
18,Dullness
22,Pores
22,Oil Control
24,Colour Protection
24,Damaged Hair
24,Frizziness
28,Blemishes
28,Pigmentation
28,Dark Spots
28,Dark Circles
28,Dullness
28,Fine Lines & Wrinkles
28,Under Eye Concerns
28,Acne
29,Acne
30,Dryness
30,Dullness
31,Chapped Lips
35,Dullness
35,Anti-Pollution
35,Anti-Ageing
41,Blackheads
41,Whiteheads
46,Blemishes
47,Acne
47,Dullness
47,Dryness
57,Blemishes
61,Uneven Skin Tone
61,Pores
61,Dullness
62,Dullness
67,Sun Damage
74,Frizziness
75,Damaged Hair
75,Dryness
75,Frizziness
77,Dryness
80,Dullness
86,Dryness
86,Frizziness
91,Blemishes
91,Pigmentation
91,Dark Spots
91,Dark Circles
91,Dullness
91,Fine Lines & Wrinkles
91,Under Eye Concerns
91,Acne
94,Hair Loss
94,Hair Fall
94,Product Build-Up
98,Blemishes
98,Pigmentation
98,Dark Spots
98,Dark Circles
98,Dullness
98,Fine Lines & Wrinkles
98,Under Eye Concerns
98,Acne
106,Blemishes
112,Uneven Skin Tone
113,Dryness
113,Dullness
113,Anti-Pollution
113,Redness
115,Blemishes
115,Fine Lines & Wrinkles
115,Dullness
115,Under Eye Concerns
125,Pores
125,Dullness
125,Acne
125,Oil Control
132,Dullness
132,Dryness
132,Anti-Ageing
137,Dullness
144,Oil Control
148,Fine Lines & Wrinkles
149,Dryness
151,Anti-Ageing
153,Dryness
157,Acne
157,Dullness
159,Oil Control
162,Roughness
165,Sun Damage
165,Anti-Ageing
166,Pores
176,Blemishes
180,Chapped Lips
180,Dryness
182,Anti-Ageing
193,Dullness
193,Tan Removal
193,Uneven Skin Tone
198,Under Eye Concerns
198,Anti-Pollution
198,Anti-Ageing
201,Chapped Lips
207,Blemishes
207,Pigmentation
207,Pores
207,Dark Spots
207,Dark Circles
207,Dullness
207,Dryness
207,Fine Lines & Wrinkles
207,Under Eye Concerns
207,Acne
210,Chapped Lips
211,Frizziness
218,Dryness
220,Acne
223,Split Ends
223,Dryness
223,Frizziness
225,Acne
225,Pores
225,Dullness
229,Dullness
229,Hair Fall
230,Oil Control
232,Blackheads
232,Whiteheads
239,Dullness
239,Dryness
239,Uneven Skin Tone
239,Roughness
245,Dullness
245,Product Build-Up
251,Dryness
251,Roughness
253,Dryness
256,Blemishes
263,Dark Spots
264,Dark Spots
265,Dryness
267,Uneven Skin Tone
268,Anti-Ageing
269,Dullness
269,Dryness
270,Acne
270,Oil Control
270,Dryness
272,Dryness
274,Pores
275,Blemishes
276,Acne
279,Chapped Lips
282,Pores
282,Uneven Skin Tone
282,Dark Spots
282,Blemishes
283,Chapped Lips
285,Product Build Up
286,Tan Removal
287,Uneven Skin Tone
288,Sun Damage
293,Chapped Lips
293,Dryness
299,Dryness
305,Blemishes
305,Acne
305,Dark Spots
305,Dryness
305,Pigmentation
305,Dullness
305,Fine Lines & Wrinkles
305,Dark Circles
310,Dark Spots
321,Dryness
331,Cuticle Care
331,Dryness
331,Roughness
333,Chapped Lips
337,Anti-Ageing
341,Dullness
341,Dryness
341,Anti-Ageing
344,Dryness
344,Stretch Marks
351,Dullness
351,Sun Damage
351,Anti-Ageing
355,Dryness
361,Hair Fall
368,Hair Fall
368,Dryness
368,Frizziness
368,Damaged Hair
368,Hair Loss
369,Blemishes
369,Dryness
369,Acne
370,Tan Removal
380,Dullness
380,Tangled Hair
383,Acne
390,Dryness
392,Hair Loss
392,Hair Fall
392,Thinning
394,Frizziness
395,Redness
405,Dark Spots
405,Anti-Pollution
405,Acne
405,Fine Lines & Wrinkles
