,product_id,sub_category
0,2,Perfume
1,3,Eye Palette
2,4,Shower Gel
3,5,Shower Gel
4,6,Colour Corrector
5,7,Face Sunscreen
6,8,Eau De Parfum
7,10,Acne Scar Removal Gel
8,12,Body Scrub
9,14,Perfume
11,20,Eau De Toilette Perfume
12,21,Lip Liner
13,22,Face Mask
14,24,Hair Mask
15,25,Eau De Parfum
16,28,Face Moisturizer
17,29,Face Wash
18,30,Body Oil
19,31,Lip Balm
20,33,Cleanser
21,34,Lipstick
22,35,Face Moisturiser
23,38,Massage Oil
25,40,EDP Perfume
26,41,Face Scrub
27,42,Highlighter
29,45,Eau De Parfum
30,46,Face Sunscreen
31,47,Face Moisturizer
32,48,Body Lotion
33,51,Kajal
34,52,Nail Polish
35,53,Bronzer
36,54,Eau De Parfum
37,55,Foundation
38,56,Eau De Parfum
39,57,Face Wash
40,58,Perfume
41,59,Conditioner
42,60,Contour Powder
43,61,Face Mask
44,62,Eye Palette
45,63,Hand Cream
46,64,Lipstick
47,67,Face Sunscreen
48,70,Face Razor
49,72,Nail Polish
50,73,Eau De Parfum
51,74,Hair Serum
52,75,Hair Serum
53,76,Eau De Parfum
54,77,Hair Mask
55,80,Massage Oil
56,81,Eyebrow Pencil
57,85,Body Mist
58,86,Hair Oil
59,87,Eau De Parfum
61,90,Lipstick
62,91,Face Moisturiser
63,92,Eau De Parfum
64,93,Nail Polish Remover
65,94,Shampoo
66,97,Parfum
67,98,Face Moisturiser
68,100,Eau De Parfum
69,101,Liquid Lipstick
70,102,Perfume
71,106,Face Sunscreen
72,107,Highlighter
73,108,Body Spray
74,112,Eye Palette
75,113,Makeup Remover
76,115,Concealer
77,118,Shower Gel
78,120,Kajal
79,121,Eau De Toilette
80,123,"Shower Gel, Face Wash & Bath Salt"
81,125,Setting Powder
82,129,Kohl Kajal
83,130,Eau De Parfum
84,132,Sleeping Face Mask
85,133,Nail Polish
86,136,Nail Polish Remover
88,139,Eau De Parfum
89,140,Eau De Toilette
90,142,Lip Mask
91,144,Body Scrub
93,148,Face Serum
94,149,Shower Gel
95,151,Compact Powder
98,155,Deodorant Perfume
99,157,Face Wash
100,158,Nail Polish
101,159,Compact Powder
102,161,Body Wash
103,162,Lip Tint
104,163,Eau De Toilette
105,165,Face Sunscreen
106,166,Foundation
107,168,Massage Oil
108,172,Face & Eye Brush
109,173,"Body Wash, Body Lotion, Soap, Hand Cream & Bath Soap"
110,175,Makeup Brush
111,176,Face Moisturiser
112,178,Blush
113,180,Lip Mask
114,181,Eau De Parfum
115,182,Sheet Mask
116,183,Lipstick
117,185,Sheet Mask
118,186,Lipstick
119,187,Nail Polish
120,190,Liquid Lipstick
121,191,Eau De Parfum
122,192,Nail Polish
123,193,Body Wash and Body Lotion
124,194,Perfume
126,198,Eye Cream
127,199,Eau De Parfum
128,200,Nail Polish
129,201,Lip Mask
131,203,Body Mist
132,204,"Body Wash, Body Scrub & Exfoliating Glove"
133,205,Kajal
134,206,Perfume
135,207,Face Moisturizer
136,208,Eye Shadow
137,209,Face Wash
138,210,Liquid Lipstick
139,211,Hair Oil
140,218,Massage Oil
141,219,Sleeping Mask
142,220,Face Sunscreen
143,221,Eau De Toilette
144,222,Eau De Toilette
